settlement_id,order_ref,amount,settlement_date,_mutation
SET0001,ORD10234,1140.48,2026-08-30,gateway_fee_2pct
SET0002,ORD10235,19503.89,2026-08-22,clean
SET0003,ORD10236,1706.59,2026-08-21,clean
SET0004,ORD10237,1672.48,2026-08-23,clean
SET0005,ORD10238,15131.84,2026-08-30,primary
SET0006,ORD10239,8110.48,2026-08-24,clean
SET0007,ORD10240,3306.16,2026-09-02,settlement_lag_T+2
SET0008,ORD10241,319.66,2026-09-01,clean
SET0009,ORD10242,532.28,2026-09-02,gateway_fee_2pct
SET0010,ORD10243,7825.25,2026-08-27,clean
SET0011,ORD10244,1016.86,2026-08-28,clean
SET0012,ORD10245,6079.72,2026-08-27,settlement_lag_T+2
SET0013,ORD10246,24748.77,2026-08-23,clean
SET0014,ORD10247,560.64,2026-09-02,clean
SET0015,ORD10248,661.21,2026-08-25,primary
SET0016,ORD80249,37960.71,2026-08-31,order_ref_typo:ORD10249->ORD80249
SET0017,ORD10250,3091.27,2026-08-24,settlement_lag_T+2
SET0018,ORD10251,37044.0,2026-08-24,gateway_fee_2pct
SET0019,ORD10252,1198.58,2026-08-30,clean
SET0020,ORD10253,609.4,2026-09-02,clean
SET0022,ORD10255,14725.74,2026-08-23,clean
SET0023,ORD10256,380.66,2026-08-27,primary
SET0024,ORD70257,959.55,2026-08-28,order_ref_typo:ORD10257->ORD70257
SET0025,ORD10258,7982.62,2026-08-26,clean
SET0026,ORD10259,260.3,2026-08-27,clean
SET0027,ORD10260,1084.31,2026-08-30,clean
SET0028,ORD10261,7974.79,2026-08-26,clean
SET0029,ORD10262,25229.62,2026-08-28,clean
SET0030,ORD10263,40017.56,2026-08-30,clean
SET0031,ORD10264,764.63,2026-08-25,clean
SET0032,ORD10265,30267.78,2026-08-31,clean
SET0033,ORD10266,2191.67,2026-08-22,clean
SET0035,ORD10268,1439.5,2026-09-01,clean
SET0036,ORD10269,4675.94,2026-08-20,clean
SET0038,ORD10271,937.13,2026-08-20,clean
SET0039,ORD10272,1949.88,2026-09-01,settlement_lag_T+1
SET0040,ORD10273,1057.34,2026-09-01,clean
SET0041,ORD10274,1334.04,2026-08-22,clean
SET0042,ORD10275,39303.19,2026-08-23,gateway_fee_2pct
SET0043,ORD10276,1493.69,2026-08-31,clean
SET0044,ORD10277,34029.86,2026-08-27,rounding_diff_+0.14
SET0045,ORD10278,964.39,2026-08-21,clean
SET0046,ORD10279,1119.9,2026-08-23,clean
SET0047,ORD10280,42192.71,2026-08-21,clean
SET0048,ORD10281,830.52,2026-08-23,clean
SET0049,ORD10282,36420.86,2026-08-31,clean
SET0050,ORD10283,4062.97,2026-09-01,gateway_fee_2pct
SET0051,ORD10284,4253.26,2026-08-30,clean
SET0052,ORD10285,1049.15,2026-08-31,clean
SET0053,ORD10286,3705.47,2026-08-20,clean
SET0054,ORD10287,896.71,2026-08-23,clean
SET0055,ORD10288,524.0,2026-08-22,clean
SET0056,ORD10289,22551.2,2026-08-27,rounding_diff_-0.24
SET0057,ORD10290,41720.55,2026-08-30,clean
SET0058,ORD10291,10827.29,2026-09-01,clean
SET0059,ORD10292,43048.86,2026-08-23,clean
SET0060,ORD102693,30304.06,2026-08-20,order_ref_typo:ORD10293->ORD102693
DUP0005,ORD10238,15131.84,2026-08-30,duplicate_of_SET0005
DUP0015,ORD10248,661.21,2026-08-25,duplicate_of_SET0015
DUP0023,ORD10256,380.66,2026-08-27,duplicate_of_SET0023
