payment_id,date,amount,order_ref,status
PAY0001,2026-08-30,1163.76,ORD10234,captured
PAY0002,2026-08-22,19503.89,ORD10235,captured
PAY0003,2026-08-21,1706.59,ORD10236,captured
PAY0004,2026-08-23,1672.48,ORD10237,captured
PAY0005,2026-08-30,15131.84,ORD10238,captured
PAY0006,2026-08-24,8110.48,ORD10239,captured
PAY0007,2026-08-31,3306.16,ORD10240,captured
PAY0008,2026-09-01,319.66,ORD10241,captured
PAY0009,2026-09-02,543.14,ORD10242,captured
PAY0010,2026-08-27,7825.25,ORD10243,captured
PAY0011,2026-08-28,1016.86,ORD10244,captured
PAY0012,2026-08-25,6079.72,ORD10245,captured
PAY0013,2026-08-23,24748.77,ORD10246,captured
PAY0014,2026-09-02,560.64,ORD10247,captured
PAY0015,2026-08-25,661.21,ORD10248,captured
PAY0016,2026-08-31,37960.71,ORD10249,captured
PAY0017,2026-08-22,3091.27,ORD10250,captured
PAY0018,2026-08-24,37800.0,ORD10251,captured
PAY0019,2026-08-30,1198.58,ORD10252,captured
PAY0020,2026-09-02,609.4,ORD10253,captured
PAY0021,2026-08-23,36343.6,ORD10254,captured
PAY0022,2026-08-23,14725.74,ORD10255,refunded
PAY0023,2026-08-27,380.66,ORD10256,captured
PAY0024,2026-08-28,959.55,ORD10257,captured
PAY0025,2026-08-26,7982.62,ORD10258,captured
PAY0026,2026-08-27,260.3,ORD10259,captured
PAY0027,2026-08-30,1084.31,ORD10260,captured
PAY0028,2026-08-26,7974.79,ORD10261,captured
PAY0029,2026-08-28,25229.62,ORD10262,captured
PAY0030,2026-08-30,40017.56,ORD10263,captured
PAY0031,2026-08-25,764.63,ORD10264,captured
PAY0032,2026-08-31,30267.78,ORD10265,captured
PAY0033,2026-08-22,2191.67,ORD10266,captured
PAY0034,2026-09-02,5458.31,ORD10267,captured
PAY0035,2026-09-01,1439.5,ORD10268,refunded
PAY0036,2026-08-20,4675.94,ORD10269,captured
PAY0037,2026-08-25,41633.31,ORD10270,captured
PAY0038,2026-08-20,937.13,ORD10271,captured
PAY0039,2026-08-31,1949.88,ORD10272,captured
PAY0040,2026-09-01,1057.34,ORD10273,refunded
PAY0041,2026-08-22,1334.04,ORD10274,captured
PAY0042,2026-08-23,40105.3,ORD10275,captured
PAY0043,2026-08-31,1493.69,ORD10276,captured
PAY0044,2026-08-27,34029.72,ORD10277,captured
PAY0045,2026-08-21,964.39,ORD10278,captured
PAY0046,2026-08-23,1119.9,ORD10279,captured
PAY0047,2026-08-21,42192.71,ORD10280,captured
PAY0048,2026-08-23,830.52,ORD10281,captured
PAY0049,2026-08-31,36420.86,ORD10282,captured
PAY0050,2026-09-01,4145.89,ORD10283,captured
PAY0051,2026-08-30,4253.26,ORD10284,captured
PAY0052,2026-08-31,1049.15,ORD10285,captured
PAY0053,2026-08-20,3705.47,ORD10286,captured
PAY0054,2026-08-23,896.71,ORD10287,captured
PAY0055,2026-08-22,524.0,ORD10288,refunded
PAY0056,2026-08-27,22551.44,ORD10289,captured
PAY0057,2026-08-30,41720.55,ORD10290,failed
PAY0058,2026-09-01,10827.29,ORD10291,captured
PAY0059,2026-08-23,43048.86,ORD10292,captured
PAY0060,2026-08-20,30304.06,ORD10293,captured
